Customer_Code,Order_Frequency,Total_Spending,Avg_Order_Value,Last_Activity,Total_Pieces,Avg_Pieces_Per_Order,Total_Weight,Avg_Weight_Per_Order,Avg_Discount_Rate,Total_Discount,Primary_Service,Delivery_Rate,Package_Usage_Rate,Laundry_Orders,Laundry_Spending,Laundry_Weight,DryClean_Orders,DryClean_Spending,DryClean_Pieces,Laundry_Ratio,DryClean_Ratio,Recency,Avg_Monthly_Orders,Value_Per_Kg,RF_Segment
Cust1000673,3,2745,915.0,2024-11-05 13:20:00,21,7.0,0.0,0.0,133.33333333333334,400.0,CL,1.0,0.6666666666666666,0.0,0.0,0.0,3.0,2745.0,21.0,0.0,1.0,59.0,0.25,0.0,1
Cust1000898,1,372,372.0,2024-01-29 14:59:00,1,1.0,0.0,0.0,93.0,93.0,CL,1.0,0.0,0.0,0.0,0.0,1.0,372.0,1.0,0.0,1.0,340.0,0.08333333333333333,0.0,1
Cust1000976,1,240,240.0,2023-12-07 15:09:00,2,2.0,0.0,0.0,60.0,60.0,SHC,1.0,0.0,0.0,0.0,0.0,1.0,240.0,2.0,0.0,1.0,393.0,0.08333333333333333,0.0,1
Cust1001014,1,85,85.0,2023-11-30 16:49:00,5,5.0,1.64,1.64,21.33,21.33,WF,1.0,0.0,1.0,85.0,1.64,0.0,0.0,0.0,1.0,0.0,400.0,0.08333333333333333,51.82926829268293,2
Cust1001172,18,3725,206.94444444444446,2024-11-11 16:26:00,76,4.222222222222222,13.290000000000001,0.7383333333333334,8.047777777777778,144.86,WSI,0.9444444444444444,0.0,10.0,1550.0,13.290000000000001,8.0,2175.0,22.0,0.5555555555555556,0.4444444444444444,53.0,1.5,116.62904439428141,2
Cust1003606,1,891,891.0,2024-07-26 14:06:00,24,24.0,9.28,9.28,222.72,222.72,WSI,1.0,0.0,1.0,891.0,9.28,0.0,0.0,0.0,1.0,0.0,161.0,0.08333333333333333,96.01293103448276,2
Cust1003931,1,336,336.0,2024-01-29 15:02:00,1,1.0,0.0,0.0,84.0,84.0,CL,1.0,0.0,0.0,0.0,0.0,1.0,336.0,1.0,0.0,1.0,340.0,0.08333333333333333,0.0,1
Cust1004563,3,1136,378.6666666666667,2024-10-08 12:36:00,49,16.333333333333332,14.79,4.93,0.0,0.0,WF,1.0,0.0,3.0,1136.0,14.79,0.0,0.0,0.0,1.0,0.0,87.0,0.25,76.80865449628128,2
Cust1004818,3,541,180.33333333333334,2024-02-25 13:13:00,21,7.0,5.46,1.82,0.0,0.0,WF,1.0,0.0,3.0,541.0,5.46,0.0,0.0,0.0,1.0,0.0,313.0,0.25,99.08424908424908,2
Cust1007788,1,672,672.0,2023-12-29 14:06:00,2,2.0,0.0,0.0,168.0,168.0,CL,1.0,0.0,0.0,0.0,0.0,1.0,672.0,2.0,0.0,1.0,371.0,0.08333333333333333,0.0,1
Cust1007822,2,806,403.0,2024-01-29 15:02:00,3,1.5,0.0,0.0,32.0,64.0,CL,1.0,0.0,0.0,0.0,0.0,2.0,806.0,3.0,0.0,1.0,340.0,0.16666666666666666,0.0,1
Cust1008935,1,804,804.0,2024-01-04 15:01:00,8,8.0,0.0,0.0,201.0,201.0,CL,1.0,0.0,0.0,0.0,0.0,1.0,804.0,8.0,0.0,1.0,365.0,0.08333333333333333,0.0,1
Cust1010740,1,240,240.0,2024-01-04 15:03:00,2,2.0,0.0,0.0,60.0,60.0,SHC,1.0,0.0,0.0,0.0,0.0,1.0,240.0,2.0,0.0,1.0,365.0,0.08333333333333333,0.0,1
Cust1011142,22,6047,274.8636363636364,2024-09-02 18:17:00,123,5.590909090909091,35.019999999999996,1.5918181818181816,0.0,0.0,WSI,1.0,0.0,15.0,3722.0,35.019999999999996,7.0,2325.0,15.0,0.6818181818181818,0.3181818181818182,123.0,1.8333333333333333,106.28212450028556,2
Cust1011196,2,796,398.0,2024-12-07 20:13:00,5,2.5,0.0,0.0,37.0,74.0,CL,1.0,0.0,0.0,0.0,0.0,2.0,796.0,5.0,0.0,1.0,27.0,0.16666666666666666,0.0,1
Cust1011229,1,383,383.0,2024-01-29 16:45:00,26,26.0,6.13,6.13,95.69,95.69,"WSI, WF",1.0,0.0,1.0,383.0,6.13,0.0,0.0,0.0,1.0,0.0,340.0,0.08333333333333333,62.47960848287113,2
Cust1011596,4,1127,281.75,2024-01-29 17:14:00,10,2.5,1.3199999999999998,0.32999999999999996,32.0,128.0,CL,1.0,0.0,2.0,115.0,1.3199999999999998,2.0,1012.0,5.0,0.5,0.5,340.0,0.3333333333333333,87.12121212121214,2
Cust1012077,1,684,684.0,2023-12-08 14:02:00,3,3.0,0.0,0.0,171.0,171.0,CL,1.0,0.0,0.0,0.0,0.0,1.0,684.0,3.0,0.0,1.0,392.0,0.08333333333333333,0.0,1
Cust1013738,1,280,280.0,2023-12-16 12:43:00,1,1.0,0.0,0.0,70.0,70.0,CL,1.0,0.0,0.0,0.0,0.0,1.0,280.0,1.0,0.0,1.0,384.0,0.08333333333333333,0.0,1
Cust1014525,38,5609,147.60526315789474,2024-12-30 15:32:00,291,7.657894736842105,65.38,1.7205263157894735,0.0,0.0,WF,0.9473684210526315,0.0,36.0,4999.0,65.38,2.0,610.0,2.0,0.9473684210526315,0.05263157894736842,4.0,3.1666666666666665,76.46069134291832,0
Cust1014577,2,534,267.0,2024-01-29 16:47:00,24,12.0,4.27,2.135,32.0,64.0,CL,1.0,0.0,1.0,278.0,4.27,1.0,256.0,1.0,0.5,0.5,340.0,0.16666666666666666,65.10538641686183,2
Cust1014807,1,431,431.0,2023-12-17 14:54:00,17,17.0,4.1,4.1,0.0,0.0,WSI,1.0,0.0,1.0,431.0,4.1,0.0,0.0,0.0,1.0,0.0,383.0,0.08333333333333333,105.1219512195122,2
Cust1015135,2,565,282.5,2024-11-29 16:05:00,4,2.0,0.0,0.0,30.0,60.0,"CL, SI",1.0,0.0,0.0,0.0,0.0,2.0,565.0,4.0,0.0,1.0,35.0,0.16666666666666666,0.0,1
Cust1015908,1,336,336.0,2024-01-29 16:53:00,1,1.0,0.0,0.0,84.0,84.0,CL,1.0,0.0,0.0,0.0,0.0,1.0,336.0,1.0,0.0,1.0,340.0,0.08333333333333333,0.0,1
Cust1016075,1,896,896.0,2024-01-29 17:04:00,9,9.0,0.0,0.0,224.0,224.0,"SI, CL",1.0,0.0,0.0,0.0,0.0,1.0,896.0,9.0,0.0,1.0,340.0,0.08333333333333333,0.0,1
Cust1017036,1,225,225.0,2024-01-29 16:46:00,1,1.0,0.0,0.0,0.0,0.0,CL,1.0,0.0,0.0,0.0,0.0,1.0,225.0,1.0,0.0,1.0,340.0,0.08333333333333333,0.0,1
Cust1017175,1,252,252.0,2024-01-04 15:30:00,1,1.0,0.0,0.0,63.0,63.0,CL,1.0,0.0,0.0,0.0,0.0,1.0,252.0,1.0,0.0,1.0,365.0,0.08333333333333333,0.0,1
Cust1017517,1,840,840.0,2024-01-14 23:08:00,4,4.0,0.0,0.0,210.0,210.0,CL,1.0,0.0,0.0,0.0,0.0,1.0,840.0,4.0,0.0,1.0,355.0,0.08333333333333333,0.0,1
Cust1017622,1,180,180.0,,2,2.0,0.0,0.0,0.0,0.0,CL,0.0,0.0,0.0,0.0,0.0,1.0,180.0,2.0,0.0,1.0,,0.08333333333333333,0.0,1
Cust1017841,1,180,180.0,2024-01-29 16:56:00,1,1.0,0.0,0.0,45.0,45.0,CL,1.0,0.0,0.0,0.0,0.0,1.0,180.0,1.0,0.0,1.0,340.0,0.08333333333333333,0.0,1
Cust1018029,1,172,172.0,2024-01-29 16:51:00,5,5.0,1.64,1.64,0.0,0.0,WSI,1.0,0.0,1.0,172.0,1.64,0.0,0.0,0.0,1.0,0.0,340.0,0.08333333333333333,104.87804878048782,2
Cust1018095,2,460,230.0,2024-07-12 22:18:00,3,1.5,0.0,0.0,57.5,115.0,CL,1.0,0.0,0.0,0.0,0.0,2.0,460.0,3.0,0.0,1.0,175.0,0.16666666666666666,0.0,1
